type_name,type,path,i,real_time,user_time,sys_time,depth
Approach 3: tuple,3,tuple/tuple2.cpp.out,1,0m0.002,0m0.003,0m0.000,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,2,0m0.004,0m0.004,0m0.000,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,3,0m0.004,0m0.004,0m0.000,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,4,0m0.002,0m0.002,0m0.000,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,5,0m0.003,0m0.003,0m0.000,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,6,0m0.005,0m0.005,0m0.000,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,7,0m0.004,0m0.004,0m0.000,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,8,0m0.003,0m0.001,0m0.003,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,9,0m0.002,0m0.002,0m0.000,2
Approach 3: tuple,3,tuple/tuple2.cpp.out,10,0m0.004,0m0.004,0m0.000,2
Approach 3: tuple,3,tuple/tuple3.cpp.out,1,0m0.002,0m0.002,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,2,0m0.003,0m0.003,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,3,0m0.003,0m0.004,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,4,0m0.003,0m0.003,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,5,0m0.004,0m0.004,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,6,0m0.003,0m0.003,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,7,0m0.005,0m0.005,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,8,0m0.004,0m0.004,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,9,0m0.004,0m0.004,0m0.000,3
Approach 3: tuple,3,tuple/tuple3.cpp.out,10,0m0.003,0m0.003,0m0.000,3
Approach 3: tuple,3,tuple/tuple4.cpp.out,1,0m0.004,0m0.005,0m0.000,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,2,0m0.003,0m0.003,0m0.000,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,3,0m0.005,0m0.005,0m0.000,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,4,0m0.004,0m0.001,0m0.003,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,5,0m0.004,0m0.004,0m0.000,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,6,0m0.005,0m0.005,0m0.000,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,7,0m0.003,0m0.003,0m0.000,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,8,0m0.006,0m0.001,0m0.005,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,9,0m0.005,0m0.006,0m0.000,4
Approach 3: tuple,3,tuple/tuple4.cpp.out,10,0m0.005,0m0.006,0m0.000,4
Approach 3: tuple,3,tuple/tuple5.cpp.out,1,0m0.029,0m0.029,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,2,0m0.021,0m0.021,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,3,0m0.022,0m0.022,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,4,0m0.024,0m0.024,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,5,0m0.018,0m0.018,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,6,0m0.016,0m0.017,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,7,0m0.017,0m0.017,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,8,0m0.018,0m0.018,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,9,0m0.017,0m0.018,0m0.000,5
Approach 3: tuple,3,tuple/tuple5.cpp.out,10,0m0.020,0m0.020,0m0.000,5
Approach 3: tuple,3,tuple/tuple6.cpp.out,1,0m0.339,0m0.330,0m0.010,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,2,0m0.326,0m0.326,0m0.000,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,3,0m0.322,0m0.292,0m0.030,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,4,0m0.345,0m0.316,0m0.030,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,5,0m0.343,0m0.333,0m0.010,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,6,0m0.321,0m0.321,0m0.000,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,7,0m0.340,0m0.330,0m0.010,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,8,0m0.332,0m0.323,0m0.010,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,9,0m0.335,0m0.315,0m0.020,6
Approach 3: tuple,3,tuple/tuple6.cpp.out,10,0m0.324,0m0.324,0m0.000,6
Approach 3: tuple,3,tuple/tuple7.cpp.out,1,0m8.108,0m7.958,0m0.150,7
Approach 3: tuple,3,tuple/tuple7.cpp.out,2,0m7.938,0m7.818,0m0.120,7
Approach 3: tuple,3,tuple/tuple7.cpp.out,3,0m7.936,0m7.866,0m0.070,7
Approach 3: tuple,3,tuple/tuple7.cpp.out,4,0m8.247,0m8.136,0m0.110,7
